"","Status","FWS.Total","Other.Fed","Fed.Total","States.Total","Species.Total","Year"
"1166","E",20500,32896,53396,5000,58396,2004
"1167","E",1196,23500,24696,0,24696,2004
"1168","T",23252,10000,33252,0,33252,2004
"1169","T",10302,11000,21302,0,21302,2004
"1170","E",5520,40400,45920,0,45920,2004
"1171","E",90341,0,90341,0,90341,2004
"1172","E",2079,0,2079,0,2079,2004
"1173","T",22400,6598,28998,1000,29998,2004
"1174","T",15000,0,15000,0,15000,2004
"1175","E",35318,0,35318,0,35318,2004
"1176","T",180,5376,5556,0,5556,2004
"1177","T",2000,21900,23900,400,24300,2004
"1178","E",1700,3000,4700,1900,6600,2004
"1179","E",9500,21870,31370,1500,32870,2004
"1180","E",2079,1000,3079,0,3079,2004
"1181","T",2074,1600,3674,0,3674,2004
"1182","E",357,30922,31279,11800,43079,2004
"1183","E",3000,0,3000,0,3000,2004
"1184","T",596,1100,1696,0,1696,2004
"1185","E",171,14793,14964,900,15864,2004
"1186","E",161,0,161,1100,1261,2004
"1187","E",4140,0,4140,0,4140,2004
"1188","E",18244,2000,20244,0,20244,2004
"1189","E",3000,0,3000,0,3000,2004
"1190","E",600,0,600,0,NA,2004
"1191","T",800,0,800,0,NA,2004
"1192","E",28000,108000,136000,0,136000,2004
"1193","E",5151,1200,6351,0,6351,2004
"1194","T",3500,310,3810,3000,6810,2004
"1195","E",106,4000,4106,0,4106,2004
"1196","T",6000,15000,21000,0,21000,2004
"1197","E",395000,3660,398660,19000,417660,2004
"1198","E",0,10000,10000,0,10000,2004
"1199","E",2300,15000,17300,3000,20300,2004
"1200","T",8270,21500,29770,0,29770,2004
"1201","E",0,31000,31000,0,31000,2004
"1202","E",7431,26000,33431,0,33431,2004
"1203","T",17437,9000,26437,0,26437,2004
"1204","E",0,2000,2000,0,2000,2004
"1205","E",29100,0,29100,28000,57100,2004
"1206","T",133,2450,2583,100,2683,2004
"1207","E",6678,0,6678,8300,14978,2004
"1208","E",5113,0,5113,3000,8113,2004
"1209","E",379,42000,42379,1400,43779,2004
"1210","E",161,0,161,100,NA,2004
"1211","E",5688,75301,80989,1100,82089,2004
"1212","E",137,0,137,1100,1237,2004
"1213","E",5191,0,5191,1100,6291,2004
"1214","E",137,0,137,100,NA,2004
"1215","E",559,33400,33959,500,34459,2004
"1216","E",5153,73722,78875,2500,81375,2004
"1217","E",29863,0,29863,500,30363,2004
"1218","E",619,99193,99812,1100,100912,2004
"1219","E",171,0,171,800,NA,2004
"1220","E",133,2000,2133,100,2233,2004
"1221","E",135,0,135,300,NA,2004
"1222","E",1559,12171,13730,7200,20930,2004
"1223","E",141,0,141,500,NA,2004
"1224","E",141,0,141,500,NA,2004
"1225","E",171,500,671,800,1471,2004
"1226","E",1595,6000,7595,300,7895,2004
"1227","E",133,3750,3883,100,3983,2004
"1228","E",547,100572,101119,1400,102519,2004
"1229","T",997,0,997,0,NA,2004
"1230","E",1380,0,1380,0,1380,2004
"1231","E",1500,13310,14810,0,14810,2004
"1232","E",139,0,139,3800,3939,2004
"1233","T",100,0,100,0,NA,2004
"1234","E",91000,0,91000,0,91000,2004
"1235","T",1800,670,2470,0,2470,2004
"1236","E",1000,0,1000,0,1000,2004
"1237","E",153,0,153,700,NA,2004
"1238","E",137,18000,18137,500,18637,2004
"1239","E",500,0,500,0,NA,2004
"1240","E",3821,28783,32604,0,32604,2004
"1241","E",5573,99193,104766,0,104766,2004
"1242","E",161,0,161,0,NA,2004
"1243","E",137,0,137,0,NA,2004
"1244","E",5092,0,5092,300,5392,2004
"1245","E",1500,0,1500,0,1500,2004
"1246","E",500,0,500,0,NA,2004
"1247","E",559,58872,59431,400,59831,2004
"1248","E",500,0,500,0,NA,2004
"1249","E",500,0,500,0,NA,2004
"1250","E",500,0,500,0,NA,2004
"1251","E",500,0,500,0,NA,2004
"1252","E",245,73722,73967,0,73967,2004
"1253","E",0,0,0,500,NA,2004
"1254","E",24200,75300,99500,1500,101000,2004
"1255","E",300,0,300,500,NA,2004
"1256","E",135,5650,5785,300,6085,2004
"1257","E",3855,33872,37727,1400,39127,2004
"1258","E",226510,1256297,1482807,37060,1519867,2005
"1259","E",233139,324958,558097,0,558097,2005
"1260","E",1266216,12637615,13903831,203291,14107122,2005
"1261","E",50000,409700,459700,16000,475700,2005
"1262","E",964,0,964,0,964,2005
"1263","T",94744,1635000,1729744,0,1729744,2005
"1264","E",7500,84800,92300,5195,97495,2005
"1265","E",69500,3800,73300,11400,84700,2005
"1266","E",35500,234090,269590,7751,277341,2005
"1267","SAT",21500,35000,56500,22655,79155,2005
"1268","T",522329,3422075,3944404,1265027,5209431,2005
"1269","EXPN",74113,66300,140413,0,140413,2005
"1270","T",440500,1556627,1997127,30113,2027240,2005
"1271","E",93103,22515,115618,5000,120618,2005
"1272","E",352372,180947,533319,7050,540369,2005
"1273","E",162000,7500,169500,0,169500,2005
"1274","E",9000,791246,800246,620552,1420798,2005
"1275","EXPN",591961,1748787,2340748,112441,2453189,2005
"1276","E",275477,1680500,1955977,12000,1967977,2005
"1277","E",61413,375000,436413,0,436413,2005
"1278","E",61413,0,61413,0,61413,2005
"1279","E",61413,1e+05,161413,4000,165413,2005
"1280","E",59313,375000,434313,0,434313,2005
"1281","E",15000,46394,61394,10000,71394,2005
"1282","E",45100,37440,82540,4300,86840,2005
"1283","E",8720,160300,169020,1000,170020,2005
"1284","E",26756,108700,135456,12000,147456,2005
"1285","E",1675,2500,4175,500,4675,2005
"1286","E",17400,217000,234400,2000,236400,2005
"1287","E",20615,66442,87057,4000,91057,2005
"1288","E",50822,138800,189622,30000,219622,2005
"1289","T",657592,1311490,1969082,826939,2796021,2005
"1290","E",2098000,2451646,4549646,4570,4554216,2005
"1291","E",97739,54000,151739,7500,159239,2005
"1292","E",1078500,10800,1089300,0,1089300,2005
"1293","E",38100,4246,42346,0,42346,2005
"1294","E",139000,20546,159546,0,159546,2005
"1295","E",11500,2100,13600,0,13600,2005
"1296","E",362260,31846,394106,2000,396106,2005
"1297","E",254500,36646,291146,0,291146,2005
"1298","T",351770,424424,776194,10317,786511,2005
"1299","E",86154,150904,237058,45000,282058,2005
"1300","T",58000,7548,65548,0,65548,2005
"1301","E",265500,17000,282500,0,282500,2005
"1302","E",92500,42840,135340,8195,143535,2005
"1303","T",783711,0,783711,0,783711,2005
"1304","EXPN",13699,300,13999,75000,88999,2005
"1305","T",347265,566960,914225,0,914225,2005
"1306","E",444000,916106,1360106,0,1360106,2005
"1307","T",85000,295000,380000,0,380000,2005
"1308","E",78000,851215,929215,207000,1136215,2005
"1309","E",1375,30284,31659,1690,33349,2005
"1310","SAT",0,100,100,0,100,2005
"1311","E",65000,2850,67850,0,67850,2005
"1312","E",314894,496822,811716,86000,897716,2005
"1313","E",27805,538000,565805,10000,575805,2005
"1314","E",12400,2100,14500,0,14500,2005
"1315","T",0,7488259,7488259,35700,7523959,2005
"1316","E",0,25255709,25255709,560,25256269,2005
"1317","T",0,566,566,0,566,2005
"1318","E",140,2265914,2266054,0,2266054,2005
"1319","E",200020,329174,529194,1e+05,629194,2005
"1320","E",371056,5700,376756,75000,451756,2005
"1321","E",54209,86000,140209,500,140709,2005
"1322","E",4500,86500,91000,4200,95200,2005
"1323","EXPN",0,1500,1500,0,1500,2005
"1324","E",165549,172522,338071,34750,372821,2005
"1325","E",89000,184000,273000,12000,285000,2005
"1326","T",210610,6470,217080,14800,231880,2005
"1327","E",82000,0,82000,20042,102042,2005
"1328","E",39425,3000,42425,0,42425,2005
"1329","E",30000,4200,34200,0,34200,2005
"1330","E",7000,7000,14000,0,14000,2005
"1331","E",0,47356,47356,37917,85273,2005
"1332","E",0,1356735,1356735,0,1356735,2005
"1333","E",200,51698,51898,38417,90315,2005
"1334","E",0,2602889,2602889,40417,2643306,2005
"1335","E",200,12770151,12770351,46417,12816768,2005
"1336","E",0,47956,47956,37917,85873,2005
"1337","E",5200,2434756,2439956,37917,2477873,2005
"1338","E",332030,2010314,2342344,469886,2812230,2005
"1339","EXPN",1363031,303927,1666958,126572,1793530,2005
"1340","T",124900,163875,288775,7473,296248,2005
"1341","EXPN",1315600,15100,1330700,143611,1474311,2005
"1342","E",458800,2400,461200,645,461845,2005
"1343","EXPN",593000,1100,594100,0,594100,2005
"1344","E",128000,19800,147800,0,147800,2005
"1345","E",12045,72000,84045,1000,85045,2005
"1346","E",241429,1177602,1419031,0,1419031,2005
"1347","E",66836,2000,68836,0,68836,2005
"1348","E",1750,0,1750,0,1750,2005
"1349","E",238450,127500,365950,0,365950,2005
"1350","E",997965,9240,1007205,0,1007205,2005
"1351","E",169000,0,169000,48800,217800,2005
"1352","E",16000,0,16000,500,16500,2005
"1353","T",41500,191800,233300,0,233300,2005
"1354","EXPN",67260,45150,112410,0,112410,2005
"1355","E",68771,442218,510989,222000,732989,2005
"1356","E",43495,431258,474753,0,474753,2005
"1357","E",472000,64962,536962,0,536962,2005
"1358","EXPN",434900,2400,437300,1345,438645,2005
"1359","E",61500,1517687,1579187,18298,1597485,2005
"1360","EXPN",229776,1279,231055,0,231055,2005
"1361","E",229416,137184,366600,0,366600,2005
"1362","E",241429,1177602,1419031,0,1419031,2005
"1363","E",66836,2000,68836,0,68836,2005
"1364","E",1750,0,1750,0,1750,2005
"1365","E",238450,127500,365950,0,365950,2005
"1366","E",997965,9240,1007205,0,1007205,2005
"1367","E",169000,0,169000,48800,217800,2005
"1368","E",16000,0,16000,500,16500,2005
"1369","T",41500,191800,233300,0,233300,2005
"1370","EXPN",67260,45150,112410,0,112410,2005
"1371","E",68771,442218,510989,222000,732989,2005
"1372","E",43495,431258,474753,0,474753,2005
"1373","E",472000,64962,536962,0,536962,2005
"1374","EXPN",434900,2400,437300,1345,438645,2005
"1375","E",61500,1517687,1579187,18298,1597485,2005
"1376","EXPN",229776,1279,231055,0,231055,2005
"1377","E",229416,137184,366600,0,366600,2005
"1378","E",1750,0,1750,0,1750,2005
"1379","E",118140,0,118140,0,118140,2005
"1380","E",561772,9808,571580,0,571580,2005
"1381","E",301716,1852476,2154192,0,2154192,2005
"1382","E",500,0,500,0,500,2005
"1383","E",0,1100,1100,4300,5400,2005
"1384","E",40041,389976,430017,0,430017,2005
"1385","E",77903,107017,184920,0,184920,2005
"1386","T",3771556,8605926,12377482,1084846,13462328,2005
"1387","T",733041,427691,1160732,0,1160732,2005
"1388","",NA,NA,NA,NA,NA,2005
"1389","E",131790,19000,150790,0,150790,2005
"1390","E",38500,451038,489538,5790,495328,2005
"1391","E",1400,200,1600,0,1600,2005
"1392","E",1400,0,1400,0,1400,2005
"1393","E",979787,11929206,12908993,71507,12980500,2005
"1394","T",1356305,334742,1691047,4000,1695047,2005
"1395","E",166419,364305,530724,0,530724,2005
"1396","E",247441,74280,321721,0,321721,2005
"1397","E",30500,0,30500,0,30500,2005
"1398","E",26500,0,26500,0,26500,2005
"1399","E",74995,2000,76995,0,76995,2005
"1400","T",716500,652856,1369356,0,1369356,2005
"1401","E",78779,95900,174679,0,174679,2005
"1402","E",135500,386409,521909,0,521909,2005
"1403","E",3990,0,3990,0,3990,2005
"1404","E",1400,0,1400,0,1400,2005
"1405","E",23488,352591,376079,0,376079,2005
"1406","E",3929,20000,23929,0,23929,2005
"1407","T",851351,2530510,3381861,596930,3978791,2005
"1408","E",26000,0,26000,0,26000,2005
"1409","E",66836,2000,68836,0,68836,2005
"1410","T",248071,4972534,5220605,7396,5228001,2005
"1411","T",2310130,4358638,6668768,358560,7027328,2005
"1412","E",92558,3701606,3794164,0,3794164,2005
"1413","E",1126900,557000,1683900,187200,1871100,2005
"1414","E",84879,89000,173879,0,173879,2005
"1415","E",297479,254766,552245,10745,562990,2005
"1416","E",231141,285622,516763,0,516763,2005
"1417","E",38500,0,38500,0,38500,2005
"1418","E",171700,221646,393346,50790,444136,2005
"1419","T",895182,5804930,6700112,234130,6934242,2005
"1420","T",1074768,2755677,3830445,16133,3846578,2005
"1421","E",82871,2000,84871,0,84871,2005
"1422","E",43500,21540,65040,28258,93298,2005
"1423","E",183270,120800,304070,102000,406070,2005
"1424","E",71461,171822,243283,16000,259283,2005
"1425","E",271326,273600,544926,0,544926,2005
"1426","E",74967,139682,214649,20000,234649,2005
"1427","E",46310,149600,195910,16000,211910,2005
"1428","T",215226,4000,219226,0,219226,2005
"1429","E",21000,1786708,1807708,500,1808208,2005
"1430","E",51500,511123,562623,0,562623,2005
"1431","E",151000,171100,322100,0,322100,2005
"1432","T",0,156388,156388,500,156888,2005
"1433","E",92801,539168,631969,0,631969,2005
"1434","E",405500,639890,1045390,3780,1049170,2005
"1435","E",6685,1821000,1827685,0,1827685,2005
"1436","E",213315,1839972,2053287,20000,2073287,2005
"1437","E",311450,4729508,5040958,68270,5109228,2005
"1438","T",2500,201265,203765,200,203965,2005
"1439","E",20180,191563,211743,36670,248413,2005
"1440","E",1750,0,1750,0,1750,2005
"1441","E",2450,3000,5450,0,5450,2005
"1442","E",80598,0,80598,0,80598,2005
"1443","T",3850,2000,5850,1000,6850,2005
"1444","E",258000,1082560,1340560,56300,1396860,2005
"1445","E",593252,571062,1164314,3000,1167314,2005
"1446","E",1300,129400,130700,750,131450,2005
"1447","E",252000,953839,1205839,4300,1210139,2005
"1448","E",107800,533570,641370,175800,817170,2005
"1449","E",152530,0,152530,0,152530,2005
"1450","E",964,0,964,0,964,2005
"1451","E",170195,31200,201395,0,201395,2005
"1452","E",1183000,879655,2062655,28100,2090755,2005
"1453","E",2543828,9942757,12486585,242806,12729391,2005
"1454","E",11315,0,11315,0,11315,2005
"1455","E",1750,0,1750,0,1750,2005
"1456","SAT",1066202,29674,1095876,4100,1099976,2005
"1457","T",6000,0,6000,0,6000,2005
"1458","E",48000,0,48000,0,48000,2005
"1459","E",3500,3600,7100,0,7100,2005
"1460","E",133500,282409,415909,0,415909,2005
"1461","E",1400,0,1400,0,1400,2005
"1462","T",37000,0,37000,35700,72700,2005
"1463","E",78962,271800,350762,9000,359762,2005
"1464","T",2000,3000,5000,0,5000,2005
"1465","T",11110,37366,48476,0,48476,2005
"1466","E",9800,0,9800,0,9800,2005
"1467","E",4652,2821,7473,3000,10473,2005
"1468","T",16000,48000,64000,0,64000,2005
"1469","T",151468,3931784,4083252,1125,4084377,2005
"1470","E",211500,1241661,1453161,0,1453161,2005
"1471","E",229223,3143528,3372751,23360,3396111,2005
"1472","E",369000,5302913,5671913,9553,5681466,2005
"1473","E",281000,8735761,9016761,13225,9029986,2005
"1474","T",1057000,9188489,10245489,58000,10303489,2005
"1475","T",2500,2528184,2530684,0,2530684,2005
"1476","T",16500,400,16900,0,16900,2005
"1477","T",32500,39200,71700,0,71700,2005
"1478","T",700,2100,2800,0,2800,2005
"1479","T",282000,5410,287410,5642,293052,2005
"1480","T",68500,7988,76488,17800,94288,2005
"1481","T",193000,448840,641840,480,642320,2005
"1482","T",341037,1142754,1483791,6000,1489791,2005
"1483","T",18800,7953,26753,18000,44753,2005
"1484","E",143100,96500,239600,0,239600,2005
"1485","T",1941878,26360318,28302196,6500,28308696,2005
"1486","SAT",0,931469,931469,0,931469,2005
"1487","T",157500,1974600,2132100,0,2132100,2005
"1488","E",2900,4900,7800,0,7800,2005
"1489","SAT",5500,61294,66794,39550,106344,2005
"1490","T",270271,557795,828066,122595,950661,2005
"1491","T",2900,4200,7100,0,7100,2005
"1492","T",0,4650,4650,0,4650,2005
"1493","T",30500,10300,40800,0,40800,2005
"1494","T",153687,1800,155487,0,155487,2005
"1495","T",1500,0,1500,0,1500,2005
"1496","T",1438906,719496,2158402,8000,2166402,2005
"1497","T",213680,191200,404880,26523,431403,2005
"1498","E",61500,857100,918600,0,918600,2005
"1499","E",277035,337809,614844,5000,619844,2005
"1500","T",12500,0,12500,0,12500,2005
"1501","E",77371,127840,205211,7283,212494,2005
"1502","T",544770,318800,863570,0,863570,2005
"1503","E",221931,0,221931,1000,222931,2005
"1504","E",247806,11000,258806,0,258806,2005
"1505","T",8000,70000,78000,9859,87859,2005
"1506","E",90,0,90,0,NA,2005
"1507","T",110500,206005,316505,7100,323605,2005
"1508","T",2900,2400,5300,0,5300,2005
"1509","T",0,4660,4660,5493,10153,2005
"1510","E",60722,37000,97722,2000,99722,2005
"1511","E",0,100,100,800,900,2005
"1512","E",19000,6100,25100,10000,35100,2005
"1513","E",61494,1740,63234,5790,69024,2005
"1514","E",1172917,1388472,2561389,1000,2562389,2005
"1515","E",111000,46050,157050,16430,173480,2005
"1516","T",16000,0,16000,12000,28000,2005
"1517","E",108791,15438,124229,702,124931,2005
"1518","T",10000,0,10000,3000,13000,2005
"1519","E",12400,2100,14500,5307,19807,2005
"1520","T",61000,8100,69100,72500,141600,2005
"1521","E",493305,6061307,6554612,145761,6700373,2005
"1522","E",29510,21000,50510,600,51110,2005
"1523","T",4000,0,4000,3250,7250,2005
"1524","E",271296,7898999,8170295,128761,8299056,2005
"1525","T",17705,0,17705,7500,25205,2005
"1526","E",20720,89000,109720,0,109720,2005
"1527","E",167828,24000,191828,5500,197328,2005
"1528","E",5320,40500,45820,0,45820,2005
"1529","E",30352,0,30352,0,30352,2005
"1530","T",13281,1952,15233,500,15733,2005
"1531","T",3000,20000,23000,4000,27000,2005
"1532","EXPN",1000,0,1000,0,1000,2005
"1533","T",71254,10942,82196,5703,87899,2005
"1534","EXPN",14000,1500,15500,0,15500,2005
"1535","E",503662,16100,519762,4000,523762,2005
"1536","E",11000,8000,19000,3000,22000,2005
"1537","E",338480,649484,987964,0,987964,2005
"1538","E",17780,18816,36596,0,36596,2005
"1539","T",92281,42800,135081,0,135081,2005
"1540","E",16680,18000,34680,0,34680,2005
"1541","T",15000,46000,61000,0,61000,2005
"1542","T",17705,5000,22705,7510,30215,2005
"1543","E",9580,0,9580,0,9580,2005
"1544","E",2787,7528,10315,0,10315,2005
"1545","E",178180,2600,180780,0,180780,2005
"1546","E",57700,67800,125500,8000,133500,2005
"1547","T",0,1250,1250,0,1250,2005
"1548","E",7000,1900,8900,8969,17869,2005
"1549","EXPN",6500,1000,7500,1133,8633,2005
"1550","E",37300,7987,45287,1781,47068,2005
"1551","T",51500,150667,202167,4500,206667,2005
"1552","E",37754,18310,56064,1133,57197,2005
"1553","EXPN",22000,0,22000,0,22000,2005
"1554","E",45500,81600,127100,12250,139350,2005
"1555","E",252063,4140,256203,4300,260503,2005
"1556","T",7000,16700,23700,0,23700,2005
"1557","T",32300,8000,40300,0,40300,2005
"1558","T",33500,7440,40940,50000,90940,2005
"1559","E",24800,993752,1018552,0,1018552,2005
"1560","E",46500,14100,60600,0,60600,2005
"1561","T",10500,134237,144737,0,144737,2005
"1562","T",17000,14800,31800,0,31800,2005
"1563","E",2900,2100,5000,4100,9100,2005
"1564","E",3900,8100,12000,0,12000,2005
"1565","E",20972,40500,61472,4300,65772,2005
"1566","E",2000,0,2000,4300,6300,2005
"1567","E",16582,13500,30082,5865,35947,2005
"1568","E",0,580,580,4300,4880,2005
"1569","E",261797,340459,602256,5000,607256,2005
"1570","E",17900,7400,25300,11347,36647,2005
"1571","E",34143,366340,400483,17000,417483,2005
"1572","T",42684,167909,210593,4700,215293,2005
"1573","E",2400,2000,4400,1133,5533,2005
"1574","E",300,0,300,0,300,2005
"1575","E",16700,4800,21500,1133,22633,2005
"1576","EXPN",7500,0,7500,0,7500,2005
"1577","EXPN",1000,5327,6327,3000,9327,2005
"1578","EXPN",7500,800,8300,0,8300,2005
"1579","T",25825,1000,26825,8119,34944,2005
"1580","T",20000,0,20000,8476,28476,2005
"1581","T",105000,264000,369000,5000,374000,2005
"1582","E",365090,7863475,8228565,12291,8240856,2005
"1583","E",440442,7988428,8428870,129761,8558631,2005
"1584","EXPN",0,0,0,21000,21000,2005
"1585","E",16890,0,16890,0,16890,2005
"1586","E",33380,8000,41380,0,41380,2005
"1587","E",97347,11000,108347,5790,114137,2005
"1588","E",64062,90000,154062,17000,171062,2005
"1589","E",44880,132525,177405,0,177405,2005
"1590","E",17972,0,17972,4300,22272,2005
"1591","E",1045,8500,9545,0,9545,2005
"1592","E",47800,8000,55800,0,55800,2005
"1593","E",87828,6895697,6983525,0,6983525,2005
"1594","T",1021079,25685668,26706747,1113925,27820672,2005
"1595","T",59853,3288978,3348831,5000,3353831,2005
"1596","E",44696,7297074,7341770,75000,7416770,2005
"1597","T",24743,6472283,6497026,5000,6502026,2005
"1598","T",11066220,35769843,46836063,2282625,49118688,2005
"1599","T",712396,19709478,20421874,3652325,24074199,2005
"1600","E",1436550,24717853,26154403,2002025,28156428,2005
"1601","T",2108373,9005863,11114236,1269353,12383589,2005
"1602","T",39350,11246575,11285925,114000,11399925,2005
"1603","T",150930,4687923,4838853,864825,5703678,2005
"1604","T",201687,8448681,8650368,789725,9440093,2005
"1605","T",416057,18310103,18726160,1100000,19826160,2005
"1606","T",20000,5729381,5749381,391478,6140859,2005
"1607","E",0,3776998,3776998,0,3776998,2005
"1608","T",7000,4422628,4429628,351625,4781253,2005
"1609","E",0,23004871,23004871,774200,23779071,2005
"1610","E",0,606715,606715,0,606715,2005
"1611","T",2900,2600,5500,0,5500,2005
"1612","T",188710,47624,236334,8488,244822,2005
"1613","T",10000,1400,11400,3000,14400,2005
"1614","T",21200,334176,355376,0,355376,2005
"1615","E",2900,4700,7600,0,7600,2005
"1616","E",21000,4850,25850,2545,28395,2005
"1617","E",27000,8200,35200,0,35200,2005
"1618","T",0,660000,660000,0,660000,2005
"1619","E",145250,206713,351963,102220,454183,2005
"1620","T",7000,3519,10519,0,10519,2005
"1621","T",233103,1572545,1805648,0,1805648,2005
"1622","T",118000,368500,486500,12000,498500,2005
"1623","T",25590,0,25590,0,25590,2005
"1624","T",77000,227000,304000,10000,314000,2005
"1625","E",30480,0,30480,0,30480,2005
"1626","E",11480,5250,16730,0,16730,2005
"1627","T",62990,28000,90990,0,90990,2005
"1628","E",9790,0,9790,0,9790,2005
"1629","T",19743,3859586,3879329,0,3879329,2005
"1630","T",32000,2927191,2959191,0,2959191,2005
"1631","T",53817,4014070,4067887,5000,4072887,2005
"1632","T",535670,37247158,37782828,684248,38467076,2005
"1633","T",31395,7483619,7515014,160725,7675739,2005
"1634","E",435818,23990358,24426176,1939425,26365601,2005
"1635","E",0,3018952,3018952,0,3018952,2005
"1636","T",15110,3658155,3673265,0,3673265,2005
"1637","T",220381,10687927,10908308,1086673,11994981,2005
"1638","T",9445279,33824405,43269684,2388825,45658509,2005
"1639","E",63584,3200,66784,15000,81784,2005
"1640","E",18500,5900,24400,0,24400,2005
"1641","T",357500,839189,1196689,1771,1198460,2005
"1642","E",2712543,19693594,22406137,273173,22679310,2005
"1643","E",352500,1536939,1889439,76102,1965541,2005
"1644","E",77690,7976945,8054635,144700,8199335,2005
"1645","E",47000,282694,329694,0,329694,2005
"1646","E",332328,4164734,4497062,29000,4526062,2005
"1647","E",32861,1000,33861,10510,44371,2005
"1648","E",636862,10270513,10907375,233761,11141136,2005
"1649","T",11350,9400,20750,20000,40750,2005
"1650","E",331328,4164734,4496062,28000,4524062,2005
"1651","T",81709,51717,133426,7510,140936,2005
"1652","E",97972,339000,436972,54000,490972,2005
"1653","T",19000,612000,631000,240000,871000,2005
"1654","T",6446304,31439810,37886114,1696833,39582947,2005
"1655","E",584950,53000,637950,59725,697675,2005
"1656","T",345682,125828,471510,197449,668959,2005
"1657","T",2624268,1066928,3691196,18500,3709696,2005
"1658","T",2817,0,2817,2000,4817,2005
"1659","T",75775,265000,340775,2500,343275,2005
"1660","E",512801,13100,525901,0,525901,2005
"1661","EXPN",0,2000,2000,3000,5000,2005
"1662","E",8700,7000,15700,0,15700,2005
"1663","T",79000,58405,137405,1000,138405,2005
"1664","E",82708,56558,139266,26429,165695,2005
"1665","EXPN",1000,22973,23973,4000,27973,2005
"1666","E",69719,10632,80351,1581,81932,2005
"1667","E",2900,4000,6900,500,7400,2005
"1668","EXPN",300,0,300,0,300,2005
"1669","E",4500,7852,12352,0,12352,2005
"1670","E",3900,5752,9652,0,9652,2005
"1671","E",3900,5752,9652,0,9652,2005
"1672","EXPN",0,10000,10000,100,10100,2005
"1673","E",18500,38276,56776,0,56776,2005
"1674","E",27900,388,28288,0,28288,2005
"1675","E",77042,194652,271694,65604,337298,2005
"1676","EXPN",0,42000,42000,0,42000,2005
"1677","E",8400,3852,12252,0,12252,2005
"1678","E",4800,49352,54152,3734,57886,2005
"1679","E",10000,99887,109887,1936,111823,2005
"1680","EXPN",19208,11000,30208,3493,33701,2005
"1681","E",43500,16738,60238,8927,69165,2005
"1682","E",2900,3852,6752,0,6752,2005
"1683","E",10800,6900,17700,0,17700,2005
"1684","E",76000,223400,299400,47579,346979,2005
"1685","E",48500,22410,70910,0,70910,2005
"1686","E",107408,181927,289335,13127,302462,2005
"1687","T",14000,5400,19400,800,20200,2005
"1688","T",6400,13500,19900,0,19900,2005
"1689","E",177500,146500,324000,408449,732449,2005
"1690","E",291400,474899,766299,38500,804799,2005
"1691","E",5300,9152,14452,1936,16388,2005
"1692","E",32400,4852,37252,0,37252,2005
"1693","E",4500,6402,10902,7046,17948,2005
"1694","E",176800,123600,300400,5300,305700,2005
"1695","T",4500,17600,22100,500,22600,2005
