"","Scientific.Name","Taxon","Year","Status","received","Budget","O_U","change"
"897","Schiedea spergulina leiopoda ","Plant ",1995,-1,0.07,"$66,531 ","Under","Decreased"
"898","Chamaesyce halemanui ","Plant ",1995,-1,0.07,"$66,531 ","Under","Decreased"
"899","Diplazium molokaiense ","Plant ",1998,-1,0.07,"$121,090 ","Under","Decreased"
"900","Platanthera holochila ","Plant ",1999,-1,0.07,"$135,600 ","Under","Decreased"
"901","Justicia cooleyi ","Plant ",1994,-1,0.06,"$17,035 ","Under","Decreased"
"902","Hibiscus clayi ","Plant ",1995,-1,0.06,"$66,531 ","Under","Decreased"
"903","Schiedea apokremnos ","Plant ",1995,-1,0.06,"$66,531 ","Under","Decreased"
"904","Hedyotis st.-johnii ","Plant ",1995,-1,0.06,"$66,531 ","Under","Decreased"
"905","Thelypteris pilosa alabamensis ","Plant ",1996,-1,0.06,"$29,107 ","Under","Decreased"
"906","Gesneria.pauciflora","Plant",1998,-1,0.05,"38133","Under","Decreased"
"907","Melicope quadrangularis ","Plant ",1995,-1,0.05,"$66,531 ","Under","Decreased"
"908","Monolopia congdonii ","Plant ",1998,-1,0.05,"$1,303,380 ","Under","Decreased"
"909","Hedyotis mannii ","Plant ",1996,-1,0.05,"$114,626 ","Under","Decreased"
"910","Lysimachia filifolia ","Plant ",1995,-1,0.05,"$66,531 ","Under","Decreased"
"911","Hibiscadelphus distans ","Plant ",1996,-1,0.05,"$200,762 ","Under","Decreased"
"912","Achyranthes mutica ","Plant ",1999,-1,0.05,"$135,600 ","Under","Decreased"
"913","Tetramolopium rockii ","Plant ",1996,-1,0.04,"$114,626 ","Under","Decreased"
"914","Marsilea villosa ","Plant ",1996,-1,0.04,"$209,338 ","Under","Decreased"
"915","Cyrtandra cyaneoides ","Plant ",1998,-1,0.03,"$173,495 ","Under","Decreased"
"916","Eremalche kernensis ","Plant ",1998,-1,0.03,"$1,303,380 ","Under","Decreased"
"917","Orcuttia tenuis ","Plant ",2006,-1,0.03,"$2,084,542 ","Under","Decreased"
"918","Schiedea verticillata ","Plant ",1998,-1,0.02,"$135,884 ","Under","Decreased"
"919","Pritchardia napaliensis ","Plant ",1998,-1,0.02,"$173,495 ","Under","Decreased"
"920","Cyanea dunbarii ","Plant ",1998,-1,0.02,"$699,032 ","Under","Decreased"
"921","Abutilon eremitopetalum ","Plant ",1995,-1,0.02,"$242,844 ","Under","Decreased"
"922","Gardenia brighamii ","Plant ",1993,-1,0.02,"$839,436 ","Under","Decreased"
"923","Schiedea helleri ","Plant ",1998,-1,0.02,"$173,495 ","Under","Decreased"
"924","Hymenoxys herbacea ","Plant ",1990,-1,0.01,"$708,262 ","Under","Decreased"
"925","Melicope adscendens ","Plant ",1997,-1,0.01,"$1,105,024 ","Under","Decreased"
"926","Orcuttia inaequalis ","Plant ",2006,-1,0.01,"$2,084,542 ","Under","Decreased"
"927","Schiedea haleakalensis ","Plant ",1997,-1,0.01,"$1,105,024 ","Under","Decreased"
"928","Lesquerella perforata ","Plant ",2006,-1,0.01,"$1,486,540 ","Under","Decreased"
"929","Clermontia oblongifolia mauiensis ","Plant ",1997,-1,0.01,"$1,105,024 ","Under","Decreased"
"930","Remya mauiensis ","Plant ",1997,-1,0.01,"$1,105,024 ","Under","Decreased"
"931","Cladonia perforata ","Plant ",1989,-1,0,"$5,627,059 ","Under","Decreased"
"932","Lysimachia lydgatei ","Plant ",1997,-1,0,"$1,105,024 ","Under","Decreased"
"933","Schiedea sarmentosa ","Plant ",1998,-1,0,"$699,032 ","Under","Decreased"
"934","Cirsium fontinale fontinale ","Plant ",1998,-1,0,"$4,415,840 ","Under","Decreased"
"935","Ceanothus ferrisae ","Plant ",1998,-1,0,"$4,415,840 ","Under","Decreased"
"936","Castilleja affinis neglecta ","Plant ",1998,-1,0,"$4,415,840 ","Under","Decreased"
"937","Cordylanthus tenuis capillaris ","Plant ",1998,-1,0,"$4,415,840 ","Under","Decreased"
"938","Chamaesyce garberi ","Plant ",1989,-1,0,"$5,627,059 ","Under","Decreased"
"939","Navarretia leucocephala plieantha ","Plant ",2006,-1,0,"$2,084,542 ","Under","Decreased"
"940","Pritchardia kaalae ","Plant ",1998,0,0.82,"$48,051 ","Under","No Change"
"941","Phlegmariurus nutans ","Plant ",1998,0,0.79,"$48,051 ","Under","No Change"
"942","Hedyotis parvula ","Plant ",1998,0,0.73,"$48,051 ","Under","No Change"
"943","Tetramolopium filiforme ","Plant ",1998,0,0.71,"$48,051 ","Under","No Change"
"944","Thelypodium howellii spectabilis ","Plant ",2002,0,0.68,"$66,048 ","Under","No Change"
"945","Lipochaeta tenuifolia ","Plant ",1998,0,0.67,"$48,051 ","Under","No Change"
"946","Dubautia herbstobatae ","Plant ",1998,0,0.66,"$48,051 ","Under","No Change"
"947","Hedyotis degeneri ","Plant ",1998,0,0.65,"$48,051 ","Under","No Change"
"948","Arabis macdonaldiana ","Plant ",1984,0,0.62,"$100,053 ","Under","No Change"
"949","Cupressus abramsiana ","Plant ",1998,0,0.62,"$14,729 ","Under","No Change"
"950","Silene.lanceolata","Plant",1996,0,0.61,"109168","Under","No Change"
"951","Spermolepis hawaiiensis ","Plant ",1999,0,0.6,"$135,600 ","Under","No Change"
"952","Clermontia lindseyana ","Plant ",1996,0,0.58,"$33,265 ","Under","No Change"
"953","Solanum incompletum ","Plant ",1999,0,0.55,"$126,560 ","Under","No Change"
"954","Ayenia limitaris ","Plant ",2014,0,0.55,"$52,500 ","Under","No Change"
"955","Astrophytum asterias ","Plant ",2003,0,0.5,"$103,124 ","Under","No Change"
"956","Phlox nivalis texensis ","Plant ",1995,0,0.46,"$104,300 ","Under","No Change"
"957","Arctostaphylos morroensis ","Plant ",1998,0,0.45,"$46,065 ","Under","No Change"
"958","Halophila johnsonii ","Plant ",2002,0,0.41,"$1,498,550 ","Under","No Change"
"959","Hibiscus brackenridgei ","Plant ",1999,0,0.39,"$135,600 ","Under","No Change"
"960","Trillium persistens ","Plant ",1984,0,0.36,"$16,725 ","Under","No Change"
"961","Penstemon haydenii ","Plant ",1992,0,0.35,"$107,589 ","Under","No Change"
"962","Arabis serotina ","Plant ",1991,0,0.34,"$38,817 ","Under","No Change"
"963","Tectaria estremerana ","Plant ",1995,0,0.34,"$8,233 ","Under","No Change"
"964","Carex lutea ","Plant ",2013,0,0.33,"$48,620 ","Under","No Change"
"965","Schoenocrambe argillacea ","Plant ",1994,0,0.33,"$14,304 ","Under","No Change"
"966","Lesquerella thamnophila ","Plant ",2004,0,0.32,"$70,315 ","Under","No Change"
"967","Ivesia kingii eremica ","Plant ",1990,0,0.3,"$68,094 ","Under","No Change"
"968","Mentzelia leucophylla ","Plant ",1990,0,0.29,"$68,094 ","Under","No Change"
"969","Cupressus goveniana goveniana ","Plant ",2004,0,0.29,"$33,723 ","Under","No Change"
"970","Astragalus montii ","Plant ",1995,0,0.28,"$16,830 ","Under","No Change"
"971","Solidago albopilosa ","Plant ",2009,0,0.28,"$30,738 ","Under","No Change"
"972","Sagittaria secundifolia ","Plant ",1991,0,0.28,"$53,580 ","Under","No Change"
"973","Thlaspi californicum ","Plant ",2003,0,0.28,"$37,592 ","Under","No Change"
"974","Cyanea hamatiflora carlsonii ","Plant ",1996,0,0.27,"$33,265 ","Under","No Change"
"975","Enceliopsis nudicaulis corrugata ","Plant ",1990,0,0.26,"$68,094 ","Under","No Change"
"976","Mimulus glabratus michiganensis ","Plant ",1997,0,0.23,"$41,655 ","Under","No Change"
"977","Polystichum aleuticum ","Plant ",1992,0,0.22,"$70,716 ","Under","No Change"
"978","Myrcia paganii ","Plant ",1997,0,0.22,"$15,708 ","Under","No Change"
"979","Pedicularis furbishiae ","Plant ",1991,0,0.21,"$51,015 ","Under","No Change"
"980","Xylosma crenatum ","Plant ",1995,0,0.21,"$66,531 ","Under","No Change"
"981","Astragalus tener titi ","Plant ",2004,0,0.21,"$33,723 ","Under","No Change"
"982","Thelypteris inabonensis ","Plant ",1995,0,0.2,"$8,233 ","Under","No Change"
"983","Thelypteris verecunda ","Plant ",1995,0,0.19,"$8,233 ","Under","No Change"
"984","Trifolium trichocalyx ","Plant ",2004,0,0.18,"$33,723 ","Under","No Change"
"985","Solidago houghtonii ","Plant ",1997,0,0.18,"$66,766 ","Under","No Change"
"986","Oenothera avita eurekensis ","Plant ",1982,0,0.15,"$95,597 ","Under","No Change"
"987","Ternstroemia subsessilis ","Plant ",1995,0,0.15,"$19,176 ","Under","No Change"
"988","Cirsium vinaceum ","Plant ",1993,0,0.13,"$192,395 ","Under","No Change"
"989","Leptocereus grantianus ","Plant ",1995,0,0.13,"$31,620 ","Under","No Change"
"990","Echinocereus triglochidiatus arizonicus ","Plant ",1984,0,0.13,"$98,187 ","Under","No Change"
"991","Melicope zahlbruckneri ","Plant ",1998,0,0.13,"$77,996 ","Under","No Change"
"992","Eriogonum gypsophilum ","Plant ",1984,0,0.12,"$79,893 ","Under","No Change"
"993","Phacelia formosula ","Plant ",1986,0,0.12,"$46,860 ","Under","No Change"
"994","Ternstroemia.luquillensis","Plant",1995,0,0.12,"19176","Under","No Change"
"995","Malacothamnus fasciculatus nesioticus ","Plant ",2000,0,0.09,"$134,792 ","Under","No Change"
"996","Solidago spithamaea ","Plant ",1987,0,0.08,"$40,658 ","Under","No Change"
"997","Malacothrix squalida ","Plant ",2000,0,0.07,"$134,792 ","Under","No Change"
"998","Lesquerella lyrata ","Plant ",1996,0,0.07,"$29,107 ","Under","No Change"
"999","Amsonia kearneyana ","Plant ",1993,0,0.07,"$124,131 ","Under","No Change"
"1000","Dudleya nesiotica ","Plant ",2000,0,0.07,"$134,792 ","Under","No Change"
"1001","Echinocactus horizonthalonius nicholii ","Plant ",1986,0,0.06,"$137,740 ","Under","No Change"
"1002","Lepanthes eltoroensis ","Plant ",1996,0,0.06,"$37,000 ","Under","No Change"
"1003","Thalictrum cooleyi ","Plant ",1994,0,0.06,"$111,208 ","Under","No Change"
"1004","Trichilia triacantha ","Plant ",1991,0,0.05,"$74,670 ","Under","No Change"
"1005","Juglans jamaicensis ","Plant ",1999,0,0.04,"$37,333 ","Under","No Change"
"1006","Eugenia haematocarpa ","Plant ",1998,0,0.04,"$45,522 ","Under","No Change"
"1007","Astragalus bibullatus ","Plant ",2011,0,0.04,"$569,100 ","Under","No Change"
"1008","Viola helenae ","Plant ",1994,0,0.03,"$130,612 ","Under","No Change"
"1009","Dubautia pauciflorula ","Plant ",1994,0,0.03,"$130,612 ","Under","No Change"
"1010","Echinocereus triglochidiatus ","Plant ",1984,0,0.02,"$96,320 ","Under","No Change"
"1011","Viola lanaiensis ","Plant ",1995,0,0.02,"$242,844 ","Under","No Change"
"1012","Scaevola coriacea ","Plant ",1997,0,0.02,"$1,105,024 ","Under","No Change"
"1013","Cordylanthus maritimus maritimus ","Plant ",2014,0,0.01,"$5,183,564 ","Under","No Change"
"1014","Hesperolinon congestum ","Plant ",1998,0,0.01,"$4,415,840 ","Under","No Change"
"1015","Cordylanthus mollis mollis ","Plant ",2014,0,0.01,"$5,183,564 ","Under","No Change"
"1016","Lysimachia maxima ","Plant ",1998,0,0.01,"$699,032 ","Under","No Change"
"1017","Clarkia franciscana ","Plant ",1998,0,0.01,"$4,415,840 ","Under","No Change"
"1018","Cyanea mceldowneyi ","Plant ",1997,0,0,"$1,105,024 ","Under","No Change"
"1019","Pentachaeta bellidiflora ","Plant ",1998,0,0,"$4,415,840 ","Under","No Change"
"1020","Calochortus tiburonensis ","Plant ",1998,0,0,"$4,415,840 ","Under","No Change"
"1021","Streptanthus niger ","Plant ",1998,0,0,"$4,415,840 ","Under","No Change"
"1022","Paronychia chartacea ","Plant ",1989,0,0,"$5,627,059 ","Under","No Change"
"1023","Navarretia leucocephala pauciflora ","Plant ",2006,0,0,"$2,084,542 ","Under","No Change"
"1024","Conradina brevifolia ","Plant ",1989,0,0,"$5,627,059 ","Under","No Change"
"1025","Erigeron maguirei ","Plant ",1995,1,0.83,"$23,970 ","Under","Increased"
"1026","Cyrtandra subumbellata ","Plant ",1998,1,0.76,"$48,051 ","Under","Increased"
"1027","Viola chamissoniana chamissoniana ","Plant ",1998,1,0.73,"$48,051 ","Under","Increased"
"1028","Geocarpon minimum ","Plant ",1993,1,0.66,"$69,767 ","Under","Increased"
"1029","Gouania vitifolia ","Plant ",1998,1,0.58,"$48,051 ","Under","Increased"
"1030","Aconitum noveboracense ","Plant ",1983,1,0.47,"$128,700 ","Under","Increased"
"1031","Phlox hirsuta ","Plant ",2006,1,0.46,"$110,226 ","Under","Increased"
"1032","Cenchrus agrimonioides ","Plant ",1999,1,0.43,"$135,600 ","Under","Increased"
"1033","Echinocereus fendleri kuenzleri ","Plant ",1985,1,0.43,"$136,710 ","Under","Increased"
"1034","Lomatium bradshawii ","Plant ",2010,1,0.39,"$306,421 ","Under","Increased"
"1035","Rhynchospora knieskernii ","Plant ",1993,1,0.38,"$41,860 ","Under","Increased"
"1036","Conradina etonia ","Plant ",1994,1,0.29,"$38,936 ","Under","Increased"
"1037","Manihot walkerae ","Plant ",1993,1,0.28,"$95,616 ","Under","Increased"
"1038","Coryphantha.sneedii.leei","Plant",1986,1,0.27,"20058","Under","Increased"
"1039","Eugenia woodburyana ","Plant ",1998,1,0.27,"$17,001 ","Under","Increased"
"1040","Sesbania tomentosa ","Plant ",1999,1,0.26,"$135,600 ","Under","Increased"
"1041","Limnanthes floccosa grandiflora ","Plant ",2013,1,0.22,"$219,688 ","Under","Increased"
"1042","Haplostachys haplostachya ","Plant ",1993,1,0.19,"$278,262 ","Under","Increased"
"1043","Mitracarpus polycladus ","Plant ",1998,1,0.19,"$17,001 ","Under","Increased"
"1044","Delissea undulata ","Plant ",1996,1,0.18,"$33,265 ","Under","Increased"
"1045","Penstemon penlandii ","Plant ",1992,1,0.15,"$35,828 ","Under","Increased"
"1046","Brighamia rockii ","Plant ",1996,1,0.15,"$114,626 ","Under","Increased"
"1047","Swallenia alexandrae ","Plant ",1982,1,0.14,"$95,597 ","Under","Increased"
"1048","Tetramolopium lepidotum lepidotum ","Plant ",1998,1,0.13,"$48,051 ","Under","Increased"
"1049","Helianthemum greenei ","Plant ",2000,1,0.12,"$134,792 ","Under","Increased"
"1050","Phyllostegia parviflora ","Plant ",1999,1,0.12,"$135,600 ","Under","Increased"
"1051","Helenium virginicum ","Plant ",2000,1,0.12,"$170,100 ","Under","Increased"
"1052","Nothocestrum peltatum ","Plant ",1995,1,0.11,"$66,531 ","Under","Increased"
"1053","Pritchardia schattaueri ","Plant ",1998,1,0.08,"$77,996 ","Under","Increased"
"1054","Wilkesia hobdyi ","Plant ",1995,1,0.08,"$66,531 ","Under","Increased"
"1055","Argyroxiphium sandwicense sandwicense ","Plant ",1993,1,0.06,"$197,386 ","Under","Increased"
"1056","Eriastrum hooveri ","Plant ",1998,1,0.05,"$1,303,380 ","Under","Increased"
"1057","Arctostaphylos hookeri ravenii ","Plant ",2003,1,0.05,"$181,769 ","Under","Increased"
"1058","Crescentia portoricensis ","Plant ",1991,1,0.04,"$63,270 ","Under","Increased"
"1059","Pritchardia remota ","Plant ",1998,1,0.03,"$135,884 ","Under","Increased"
"1060","Cyanea hamatiflora hamatiflora ","Plant ",2002,1,0.02,"$467,720 ","Under","Increased"
"1061","Suaeda californica ","Plant ",2014,1,0,"$5,183,564 ","Under","Increased"
"1062","Neraudia angulata ","Plant ",1998,2,0.82,"$48,051 ","Under","Increased"
"1063","Helianthus paradoxus ","Plant ",2005,2,0.76,"$84,582 ","Under","Increased"
"1064","Platanthera praeclara ","Plant ",1996,2,0.53,"$487,249 ","Under","Increased"
"1065","Arenaria cumberlandensis ","Plant ",2009,2,0.48,"$25,070 ","Under","Increased"
"1066","Cirsium fontinale obispoense ","Plant ",1998,2,0.42,"$46,065 ","Under","Increased"
"1067","Grindelia fraxino-pratensis ","Plant ",1990,2,0.38,"$68,094 ","Under","Increased"
"1068","Bonamia grandiflora ","Plant ",1996,2,0.34,"$83,599 ","Under","Increased"
"1069","Echinacea tennesseensis ","Plant ",1989,2,0.19,"$82,955 ","Under","Increased"
"1070","Scirpus ancistrochaetus ","Plant ",1993,2,0.12,"$153,487 ","Under","Increased"
"1071","Dudleya traskiae ","Plant ",1985,2,0.1,"$60,760 ","Under","Increased"
"1072","Calyptronoma rivalis ","Plant ",1992,2,0.09,"$61,420 ","Under","Increased"
"1073","Phyllostegia waimeae ","Plant ",1995,2,0.08,"$66,531 ","Under","Increased"
"1074","Chionanthus pygmaeus ","Plant ",1989,2,0.01,"$5,627,059 ","Under","Increased"
"1075","Sidalcea oregana calva ","Plant ",2004,3,0.62,"$78,720 ","Under","Increased"
"1076","Centaurium namophilum ","Plant ",1990,3,0.42,"$68,094 ","Under","Increased"
"1077","Hudsonia montana ","Plant ",1983,3,0.31,"$21,138 ","Under","Increased"
"1078","Sarracenia oreophila ","Plant ",1994,3,0.29,"$111,993 ","Under","Increased"
"1079","Mirabilis macfarlanei ","Plant ",2000,3,0.15,"$482,625 ","Under","Increased"
"1080","Chrysopsis floridana ","Plant ",2009,3,0.15,"$76,300 ","Under","Increased"
"1081","Conradina glabra ","Plant ",1994,3,0.14,"$44,274 ","Under","Increased"
"1082","Stahlia.monosperma","Plant",1996,3,0.05,"95707","Under","Increased"
"1083","Xyris tennesseensis ","Plant ",1994,4,0.36,"$70,127 ","Under","Increased"
"1084","Hedeoma todsenii ","Plant ",2001,4,0.11,"$147,840 ","Under","Increased"
"1085","Oxytropis campestris chartacea ","Plant ",1991,4,0.05,"$181,688 ","Under","Increased"
"1086","Iliamna corei ","Plant ",1990,5,0.31,"$24,758 ","Under","Increased"
"1087","Castilleja grisea ","Plant ",1984,5,0.29,"$90,048 ","Under","Increased"
"1088","Malacothamnus clementinus ","Plant ",1984,5,0.28,"$90,048 ","Under","Increased"
"1089","Delphinium variegatum kinkiense ","Plant ",1984,5,0.27,"$90,048 ","Under","Increased"
"1090","Marshallia mohrii ","Plant ",1991,5,0.08,"$56,430 ","Under","Increased"
"1091","Liatris helleri ","Plant ",2000,5,0.06,"$65,925 ","Under","Increased"
"1092","Trifolium stoloniferum ","Plant ",2007,6,0.37,"$155,232 ","Under","Increased"
"1093","Lotus dendroideus traskiae ","Plant ",1984,6,0.34,"$90,048 ","Under","Increased"
"1094","Argyroxiphium kauense ","Plant ",1995,6,0.26,"$177,370 ","Under","Increased"
"1095","Betula uber ","Plant ",1990,7,0.29,"$28,614 ","Under","Increased"
"1096","Frankenia johnstonii ","Plant ",1988,8,0.41,"$73,218 ","Under","Increased"
"1097","Gambelia silus ","Reptile ",1998,-10,0.23,"$1,303,380 ","Under","Decreased"
"1098","Dermochelys coriacea ","Reptile ",1995,-7,0.53,"$4,989,713 ","Under","Decreased"
"1099","Thamnophis sirtalis tetrataenia ","Reptile ",1985,-7,0.47,"$197,832 ","Under","Decreased"
"1100","Nerodia erythrogaster neglecta ","Reptile ",2008,-7,0.45,"$388,800 ","Under","Decreased"
"1101","Drymarchon corais couperi ","Reptile ",2009,-6,0.33,"$1,830,434 ","Under","Decreased"
"1102","Gopherus agassizii ","Reptile ",2011,-5,0.75,"$11,130,000 ","Under","Decreased"
"1103","Eretmochelys imbricata ","Reptile ",1995,-5,0.56,"$2,913,120 ","Under","Decreased"
"1104","Thamnophis gigas ","Reptile ",1999,-4,0.48,"$3,010,386 ","Under","Decreased"
"1105","Epicrates inornatus ","Reptile ",1986,-4,0.3,"$142,000 ","Under","Decreased"
"1106","Neoseps reynoldsi ","Reptile ",1989,-4,0.01,"$5,627,059 ","Under","Decreased"
"1107","Eumeces egregius lividus ","Reptile ",1989,-4,0.01,"$5,627,059 ","Under","Decreased"
"1108","Graptemys oculifera ","Reptile ",1988,-3,0.2,"$71,577 ","Under","Decreased"
"1109","Caretta caretta ","Reptile ",2008,-3,0.13,"$32,616,000 ","Under","Decreased"
"1110","Graptemys flavimaculata ","Reptile ",1993,-3,0.12,"$185,150 ","Under","Decreased"
"1111","Masticophis lateralis euryxanthus ","Reptile ",2003,-2,0.22,"$688,605 ","Under","Decreased"
"1112","Nerodia sipedon insularum ","Reptile ",2003,0,0.16,"$243,840 ","Under","No Change"
"1113","Cyclura cornuta stejnegeri ","Reptile ",1984,0,0.02,"$728,000 ","Under","No Change"
"1114","Anolis roosevelti ","Reptile ",1983,0,0.02,"$70,200 ","Under","No Change"
"1115","Sphaerodactylus micropithecus ","Reptile ",1986,0,0.01,"$564,450 ","Under","No Change"
"1116","Crotalus willardi obscurus ","Reptile ",1985,1,0.4,"$95,480 ","Under","Increased"
"1117","Ameiva polops ","Reptile ",1984,2,0.26,"$36,587 ","Under","Increased"
"1118","Chelonia mydas ","Reptile ",1998,2,0.14,"$22,947,210 ","Under","Increased"
"1119","Nerodia paucimaculata ","Reptile ",1993,2,0.08,"$399,426 ","Under","Increased"
"1120","Epicrates monensis granti ","Reptile ",1986,2,0.03,"$281,160 ","Under","Increased"
"1121","Xantusia riversiana ","Reptile ",1984,3,0.33,"$90,048 ","Under","Increased"
"1122","Epicrates monensis monensis ","Reptile ",1984,3,0.01,"$642,133 ","Under","Increased"
"1123","Crocodylus acutus ","Reptile ",1989,4,0.03,"$5,627,059 ","Under","Increased"
"1124","Lepidochelys kempii ","Reptile ",2011,5,0.41,"$5,251,050 ","Under","Increased"
