Scientific Name ,Taxon ,Year ,Status ,received ,Budget ,O_U
Bufo californicus ,Amphibian ,1999,-3,2.13,"$386,750 ",Over
Phaeognathus hubrichti ,Amphibian ,1983,-1,4.96,"$28,704 ",Over
Plethodon nettingi ,Amphibian ,1991,1,2.04,"$69,426 ",Over
Aphelocoma coerulescens ,Bird ,1990,-11,52.53,"$33,820 ",Over
Brachyramphus marmoratus ,Bird ,1997,-9,2.13,"$2,036,214 ",Over
Puffinus auricularis newelli ,Bird ,1983,-7,2.66,"$202,020 ",Over
Lanius ludovicianus mearnsi ,Bird ,1984,-1,10.49,"$90,048 ",Over
Sterna antillarum browni ,Bird ,1985,-1,3.81,"$360,220 ",Over
Buteo solitarius ,Bird ,1984,0,3.87,"$32,107 ",Over
Rallus longirostris yumanensis ,Bird ,2010,1,2.8,"$192,494 ",Over
Sterna antillarum ,Bird ,1990,3,12.77,"$204,107 ",Over
Mycteria americana ,Bird ,1997,6,11.63,"$529,250 ",Over
Meda fulgida ,Fish ,1991,-9,2.12,"$196,650 ",Over
Poeciliopsis occidentalis ,Fish ,1998,-6,2.39,"$160,732 ",Over
Etheostoma fonticola ,Fish ,1996,-5,2.06,"$60,241 ",Over
Etheostoma scotti ,Fish ,2000,-3,6.68,"$52,466 ",Over
Cyprinodon diabolis ,Fish ,1990,-3,2.14,"$68,094 ",Over
Salvelinus confluentus ,Fish ,2009,0,16.37,"$1,199,000 ",Over
Etheostoma etowahae ,Fish ,2000,0,7.92,"$52,466 ",Over
Cottus paulus ,Fish ,1991,0,3.5,"$51,300 ",Over
Xyrauchen texanus ,Fish ,1990,0,2.47,"$2,019,615 ",Over
Lepidomeda albivallis ,Fish ,1994,1,2.38,"$16,261 ",Over
Erimonax monachus ,Fish ,1983,2,3.64,"$31,980 ",Over
Branchinecta lynchi ,Invertebrate ,2013,-6,6.97,"$219,688 ",Over
Streptocephalus woottoni ,Invertebrate ,1998,-5,9.53,"$39,382 ",Over
Branchinecta sandiegonensis ,Invertebrate ,1998,-3,13.58,"$39,382 ",Over
Desmocerus californicus dimorphus ,Invertebrate ,1984,-1,8.41,"$166,507 ",Over
Leptoxis ampla ,Invertebrate ,2005,-1,2.11,"$24,792 ",Over
Valvata utahensis ,Invertebrate ,1995,1,4.15,"$71,176 ",Over
Helminthoglypta walkeriana ,Invertebrate ,1998,1,3.18,"$46,065 ",Over
Lioplax cyclostomaformis ,Invertebrate ,2005,1,2.15,"$24,792 ",Over
Brachylagus idahoensis ,Mammal ,2012,-5,3.5,"$111,137 ",Over
Peromyscus.polionotus.niveiventris,Mammal,1993,4,4.17,11896,Over
Peromyscus polionotus allophrys ,Mammal ,1987,1,6.02,"$112,750 ",Over
Peromyscus polionotus ammobates ,Mammal ,1987,5,2.87,"$112,750 ",Over
Sciurus niger cinereus ,Mammal ,1993,6,2.16,"$147,905 ",Over
Ursus americanus luteolus ,Mammal ,2009,7,9.9,"$502,490 ",Over
Myotis grisescens ,Mammal ,1982,9,8.15,"$82,743 ",Over
Arctomecon humilis ,Plant ,1985,-10,2.68,"$32,550 ",Over
Zizania texana ,Plant ,1996,-8,2.04,"$60,241 ",Over
Navarretia fossalis ,Plant ,1998,-5,6.65,"$39,382 ",Over
Pogogyne nudiuscula ,Plant ,1998,-5,5.47,"$39,382 ",Over
Pogogyne abramsii ,Plant ,1998,-5,4.3,"$39,382 ",Over
Orcuttia californica ,Plant ,1998,-5,3.92,"$39,382 ",Over
Portulaca sclerocarpa ,Plant ,1996,-4,2.03,"$33,265 ",Over
Ceanothus roderickii ,Plant ,2002,-3,2.06,"$119,009 ",Over
Eryngium aristulatum parishii ,Plant ,1998,-2,7.32,"$39,382 ",Over
Silene hawaiiensis ,Plant ,1996,-1,2.41,"$28,729 ",Over
Zanthoxylum hawaiiense ,Plant ,1996,-1,2.12,"$33,265 ",Over
Astragalus magdalenae peirsonii ,Plant ,2009,0,3.79,"$62,566 ",Over
Schwalbea americana ,Plant ,1995,0,2.32,"$63,648 ",Over
Iris lacustris ,Plant ,2013,0,2.31,"$42,092 ",Over
Eriodictyon altissimum ,Plant ,1998,0,2.09,"$46,065 ",Over
Spiranthes diluvialis ,Plant ,1995,1,3.28,"$221,340 ",Over
Chorizanthe pungens pungens ,Plant ,1998,1,2.21,"$32,204 ",Over
Howellia aquatilis ,Plant ,1996,6,2.07,"$88,652 ",Over
Gopherus polyphemus ,Reptile ,1990,-10,4.74,"$256,913 ",Over
Rana aurora draytonii ,Amphibian ,2002,-5,0.91,"$2,588,127 ",Ad
Strix occidentalis caurina ,Bird ,2011,-10,1.91,"$4,448,500 ",Ad
Dendroica chrysoparia ,Bird ,1992,-9,1.44,"$1,315,716 ",Ad
Aerodramus vanikorensis bartschi ,Bird ,1991,0,1.16,"$133,014 ",Ad
Falco femoralis septentrionalis ,Bird ,1990,2,1.12,"$336,420 ",Ad
Agelaius xanthomus ,Bird ,1996,8,0.91,"$241,733 ",Ad
Haliaeetus leucocephalus ,Bird ,1988,9,0.99,"$9,812,767 ",Ad
Tiaroga cobitis ,Fish ,1991,-9,1.88,"$196,650 ",Ad
Lepidomeda vittata ,Fish ,1998,-8,1.14,"$382,128 ",Ad
Plagopterus argentissimus ,Fish ,1995,-8,1.12,"$293,250 ",Ad
Oncorhynchus clarki henshawi ,Fish ,1995,-6,1.8,"$1,081,777 ",Ad
Acipenser transmontanus ,Fish ,1999,-6,1.65,"$2,087,680 ",Ad
Gasterosteus aculeatus williamsoni ,Fish ,1985,-5,1.29,"$217,723 ",Ad
Chasmistes brevirostris ,Fish ,2013,-4,1.35,"$1,296,930 ",Ad
Lepidomeda mollispinis pratensis ,Fish ,1994,-3,1.79,"$23,671 ",Ad
Gambusia nobilis ,Fish ,1985,-2,1.91,"$30,018 ",Ad
Deltistes luxatus ,Fish ,2013,-2,1.36,"$1,296,930 ",Ad
Gila.boraxobius,Fish,1987,1,1.9,23576,Ad
Gila cypha ,Fish ,1990,-1,1.38,"$2,019,615 ",Ad
Oncorhynchus clarki seleniris ,Fish ,2004,-1,1.29,"$68,689 ",Ad
Moapa coriacea ,Fish ,1996,-1,1.27,"$156,140 ",Ad
Cyprinella monacha ,Fish ,1983,0,1.34,"$28,860 ",Ad
Acipenser oxyrinchus desotoi ,Fish ,1995,0,1.27,"$443,858 ",Ad
Oregonichthys crameri ,Fish ,1998,0,1.02,"$433,648 ",Ad
Percina rex ,Fish ,1992,1,1.64,"$93,458 ",Ad
Notropis simus pecosensis ,Fish ,1992,1,1.56,"$375,741 ",Ad
Cyprinodon macularius ,Fish ,1993,1,1.2,"$136,528 ",Ad
Amblyopsis rosae ,Fish ,1986,2,1.97,"$47,925 ",Ad
Ptychocheilus lucius ,Fish ,1990,2,1.92,"$2,019,615 ",Ad
Eucyclogobius newberryi ,Fish ,2005,2,1.22,"$235,620 ",Ad
Cicindela dorsalis dorsalis ,Invertebrate ,1994,-5,1.33,"$116,703 ",Ad
Medionidus acutissimus ,Invertebrate ,2000,-5,1.06,"$52,466 ",Ad
Alasmidonta heterodon ,Invertebrate ,1993,-4,1.76,"$156,331 ",Ad
Physa natricina ,Invertebrate ,1995,-4,1.18,"$71,176 ",Ad
Alasmidonta raveneliana ,Invertebrate ,1996,-3,1.84,"$56,845 ",Ad
Triodopsis platysayoides ,Invertebrate ,1983,-3,0.99,"$43,524 ",Ad
Pyrgus ruralis lagunae ,Invertebrate ,2010,-2,1.91,"$45,053 ",Ad
Taylorconcha serpenticola ,Invertebrate ,1995,-1,1.34,"$71,176 ",Ad
Icaricia icarioides missionensis ,Invertebrate ,1984,0,1.79,"$52,453 ",Ad
Nicrophorus americanus ,Invertebrate ,1991,0,1.19,"$312,645 ",Ad
Orconectes shoupi ,Invertebrate ,1989,0,1.14,"$46,373 ",Ad
Fontelicella idahoensis ,Invertebrate ,1995,1,0.92,"$71,176 ",Ad
Vulpes macrotis mutica ,Mammal ,1998,-11,0.91,"$1,303,380 ",Ad
Dipodomys stephensi ,Mammal ,1997,-1,0.91,"$348,000 ",Ad
Peromyscus polionotus phasma ,Mammal ,1993,1,1.59,"$11,896 ",Ad
Enhydra lutris nereis ,Mammal ,2003,2,1,"$648,951 ",Ad
Corynorhinus townsendii virginianus ,Mammal ,1984,8,1.12,"$127,680 ",Ad
Baptisia arachnifera ,Plant ,1984,-9,1.82,"$12,320 ",Ad
Erigeron parishii ,Plant ,1997,-7,1.52,"$22,620 ",Ad
Pediocactus winkleri ,Plant ,1995,-7,0.9,"$20,400 ",Ad
Thelypodium stenopetalum ,Plant ,1998,-7,0.9,"$33,748 ",Ad
Lindera melissifolia ,Plant ,1993,-6,1.99,"$142,646 ",Ad
Eriogonum ovalifolium vineum ,Plant ,1997,-6,1.56,"$22,620 ",Ad
Lesquerella kingii bernardina ,Plant ,1997,-6,1.53,"$22,620 ",Ad
Oxytheca parishii goodmaniana ,Plant ,1997,-6,1.51,"$22,620 ",Ad
Amaranthus pumilus ,Plant ,1996,-6,1.49,"$162,800 ",Ad
Astragalus albens ,Plant ,1997,-6,1.24,"$22,620 ",Ad
Tetramolopium arenarium ,Plant ,1996,-5,1.87,"$33,265 ",Ad
Echinacea laevigata ,Plant ,1995,-5,1.3,"$140,000 ",Ad
Cyanea koolauensis ,Plant ,1998,-5,1.03,"$48,051 ",Ad
Erysimum menziesii ,Plant ,1998,-4,1.76,"$32,204 ",Ad
Helonias.bullata,Plant,1991,4,1.6,78831,Ad
Coryphantha sneedii sneedii ,Plant ,1986,-4,1.56,"$20,058 ",Ad
Isoetes melanospora ,Plant ,1993,-4,1.52,"$8,944 ",Ad
Chorizanthe robusta ,Plant ,1998,-4,1.23,"$33,348 ",Ad
Lobelia oahuensis ,Plant ,1998,-4,0.92,"$48,051 ",Ad
Viola oahuensis ,Plant ,1998,-4,0.91,"$48,051 ",Ad
Calystegia stebbinsii ,Plant ,2002,-3,1.8,"$119,009 ",Ad
Erigeron decumbens decumbens ,Plant ,2010,-3,1.72,"$306,421 ",Ad
Trillium reliquum ,Plant ,1991,-3,1.16,"$20,691 ",Ad
Spiraea virginiana ,Plant ,1992,-3,1.07,"$88,921 ",Ad
Gardenia mannii ,Plant ,1998,-3,1.02,"$48,051 ",Ad
Fritillaria gentneri ,Plant ,2003,-3,0.92,"$248,126 ",Ad
Amphianthus pusillus ,Plant ,1993,-3,0.92,"$8,944 ",Ad
Clermontia pyrularia ,Plant ,1996,-2,1.19,"$33,265 ",Ad
Euphorbia telephioides ,Plant ,1994,-2,1.17,"$15,308 ",Ad
Cyanea acuminata ,Plant ,1998,-2,0.99,"$48,051 ",Ad
Neraudia ovata ,Plant ,1998,-2,0.95,"$77,996 ",Ad
Nothocestrum breviflorum ,Plant ,1996,-1,1.72,"$33,265 ",Ad
Senecio layneae ,Plant ,2002,-1,1.6,"$119,009 ",Ad
Pinguicula ionantha ,Plant ,1994,-1,1.56,"$15,308 ",Ad
Gilia tenuiflora arenaria ,Plant ,1998,-1,1.29,"$32,204 ",Ad
Galium californicum sierrae ,Plant ,2002,-1,1.2,"$119,009 ",Ad
Castilleja levisecta ,Plant ,2000,-1,1.14,"$278,438 ",Ad
Macbridea alba ,Plant ,1994,-1,0.99,"$15,308 ",Ad
Cyanea stictophylla ,Plant ,1996,-1,0.97,"$33,265 ",Ad
Layia carnosa ,Plant ,1998,0,1.75,"$32,204 ",Ad
Hackelia venusta ,Plant ,2007,0,1.7,"$16,352 ",Ad
Piperia yadonii ,Plant ,2004,0,1.45,"$33,723 ",Ad
Lysimachia asperulaefolia ,Plant ,1995,0,1.3,"$84,167 ",Ad
Delissea subcordata ,Plant ,1998,0,0.9,"$48,051 ",Ad
Scutellaria montana ,Plant ,1996,1,1.11,"$27,109 ",Ad
Isoetes louisianensis ,Plant ,1996,3,1.37,"$36,507 ",Ad
Cyrtandra dentata ,Plant ,1998,3,0.93,"$48,051 ",Ad
Harperocallis flava ,Plant ,1983,8,1.88,"$38,220 ",Ad
Isotria medeoloides ,Plant ,1992,8,1.02,"$78,269 ",Ad
Uma inornata ,Reptile ,1985,-11,1.68,"$180,833 ",Ad
Nerodia clarkii taeniata ,Reptile ,1993,-5,1.24,"$48,944 ",Ad
Clemmys muhlenbergii ,Reptile ,2001,-4,1.28,"$702,680 ",Ad
Pseudemys alabamensis ,Reptile ,1980,0,1.58,"$21,131 ",Ad
Lepidochelys olivacea ,Reptile ,1998,2,1.2,"$890,175 ",Ad
Pseudemys rubriventris bangsi ,Reptile ,1994,6,1.53,"$56,913 ",Ad
Ambystoma macrodactylum croceum ,Amphibian ,1999,-7,0.35,"$480,347 ",Under
Bufo.houstonensis,Amphibian,1984,6,0.26,479360,Under
Eurycea nana ,Amphibian ,1996,-5,0.6,"$60,241 ",Under
Typhlomolge rathbuni ,Amphibian ,1996,-4,0.7,"$60,241 ",Under
Rana capito sevosa ,Amphibian ,2010,-3,0.65,"$359,700 ",Under
Bufo baxteri ,Amphibian ,2014,-3,0.41,"$284,000 ",Under
Eurycea sosorum ,Amphibian ,2005,-3,0.3,"$744,345 ",Under
Eleutherodactylus jasperi ,Amphibian ,1984,-3,0.02,"$227,733 ",Under
Plethodon shenandoah ,Amphibian ,1994,-2,0.22,"$81,378 ",Under
Rana chiricahuensis ,Amphibian ,2007,-1,0.47,"$764,512 ",Under
Ambystoma tigrinum stebbinsi ,Amphibian ,2002,-1,0.17,"$262,128 ",Under
Batrachoseps aridus ,Amphibian ,1982,0,0.2,"$76,317 ",Under
Peltophryne lemur ,Amphibian ,1992,0,0.14,"$118,524 ",Under
Eleutherodactylus cooki ,Amphibian ,2004,0,0.07,"$208,116 ",Under
Corvus kubaryi ,Bird ,2006,-11,0.02,"$15,344,944 ",Under
Corvus hawaiiensis ,Bird ,2009,-8,0.1,"$3,134,840 ",Under
Melamprosops phaeosoma ,Bird ,2006,-8,0.01,"$5,041,832 ",Under
Halcyon cinnamomina cinnamomina ,Bird ,2008,-8,0.01,"$8,467,200 ",Under
Ammodramus savannarum floridanus ,Bird ,1989,-7,0.2,"$5,627,059 ",Under
Tympanuchus cupido attwateri ,Bird ,2010,-7,0.04,"$8,840,118 ",Under
Hemignathus lucidus ,Bird ,2006,-7,0.01,"$5,041,832 ",Under
Rallus longirostris obsoletus ,Bird ,2014,-6,0.1,"$5,183,564 ",Under
Charadrius melodus ,Bird ,1996,-5,0.89,"$4,777,440 ",Under
Rallus owstoni ,Bird ,1990,-5,0.7,"$331,021 ",Under
Acrocephalus luscinia ,Bird ,1998,-5,0.13,"$395,633 ",Under
Chasiempis sandwichensis ibidis ,Bird ,2006,-5,0.03,"$5,041,832 ",Under
Myadestes myadestinus ,Bird ,2006,-5,0,"$5,041,832 ",Under
Rostrhamus sociabilis plumbeus ,Bird ,1989,-4,0.12,"$5,627,059 ",Under
Vireo atricapilla ,Bird ,1991,-4,0.05,"$27,996,690 ",Under
Myadestes lanaiensis rutha ,Bird ,2006,-4,0,"$5,041,832 ",Under
Amphispiza belli clementeae ,Bird ,1984,-3,0.75,"$90,048 ",Under
Charadrius alexandrinus nivosus ,Bird ,2007,-3,0.44,"$4,198,488 ",Under
Ammodramus maritimus mirabilis ,Bird ,1989,-3,0.15,"$5,627,059 ",Under
Hemignathus munroi ,Bird ,2006,-3,0.02,"$5,041,832 ",Under
Psittirostra psittacea ,Bird ,2006,-3,0.01,"$5,041,832 ",Under
Loxops coccineus ochraceus ,Bird ,2006,-3,0.01,"$5,041,832 ",Under
Moho braccatus ,Bird ,2006,-3,0,"$5,041,832 ",Under
Paroreomyza flammea ,Bird ,2006,-3,0,"$5,041,832 ",Under
Anas wyvilliana ,Bird ,2011,-2,0.61,"$644,333 ",Under
Sterna dougallii dougallii ,Bird ,1998,-2,0.28,"$1,088,230 ",Under
Telespyza cantans ,Bird ,1984,-2,0.24,"$69,067 ",Under
Somateria fischeri ,Bird ,1996,-2,0.24,"$2,366,816 ",Under
Accipiter striatus venator ,Bird ,1997,-2,0.19,"$163,367 ",Under
Loxioides bailleui ,Bird ,2006,-2,0.14,"$5,041,832 ",Under
Buteo platypterus brunnescens ,Bird ,1997,-2,0.11,"$163,367 ",Under
Rallus.longirostris.levipes,Bird,1985,-2,0.1,3126355,Under
Zosterops rotensis ,Bird ,2007,-2,0.02,"$2,749,824 ",Under
Paroreomyza maculata ,Bird ,2006,-2,0,"$5,041,832 ",Under
Amazona vittata ,Bird ,2009,-1,0.86,"$1,234,467 ",Under
Polysticta stelleri ,Bird ,2002,-1,0.62,"$1,361,982 ",Under
Empidonax traillii extimus ,Bird ,2002,-1,0.45,"$15,475,614 ",Under
Branta sandvicensis ,Bird ,2004,-1,0.19,"$2,449,791 ",Under
Megapodius laperouse ,Bird ,1998,-1,0.17,"$350,541 ",Under
Anas laysanensis ,Bird ,2010,-1,0.03,"$1,990,013 ",Under
Oreomystis bairdi ,Bird ,2006,-1,0.01,"$5,041,832 ",Under
Myadestes palmeri ,Bird ,2006,-1,0.01,"$5,041,832 ",Under
Himantopus mexicanus knudseni ,Bird ,2011,0,0.78,"$644,333 ",Under
Pterodroma phaeopygia sandwichensis ,Bird ,1983,0,0.62,"$202,020 ",Under
Strix occidentalis lucida ,Bird ,2012,0,0.61,"$3,777,628 ",Under
Fulica americana alai ,Bird ,2011,0,0.52,"$644,333 ",Under
Gallinula chloropus sandvicensis ,Bird ,2011,0,0.48,"$644,333 ",Under
Gallinula chloropus guami ,Bird ,1991,0,0.24,"$431,897 ",Under
Polyborus plancus audubonii ,Bird ,1989,0,0.21,"$5,627,059 ",Under
Telespyza ultima ,Bird ,1984,0,0.21,"$69,067 ",Under
Acrocephalus familiaris kingi ,Bird ,2008,0,0.09,"$201,312 ",Under
Campephilus principalis ,Bird ,2010,0,0.08,"$6,723,847 ",Under
Loxops coccineus coccineus ,Bird ,2006,0,0.05,"$5,041,832 ",Under
Oreomystis mana ,Bird ,2006,0,0.03,"$5,041,832 ",Under
Caprimulgus noctitherus ,Bird ,1984,0,0.02,"$541,333 ",Under
Pseudonestor xanthophrys ,Bird ,2006,0,0.02,"$5,041,832 ",Under
Palmeria dolei ,Bird ,2006,0,0.01,"$5,041,832 ",Under
Hemignathus procerus ,Bird ,2006,0,0,"$5,041,832 ",Under
Columba inornata wetmorei ,Bird ,1982,1,0.19,"$350,253 ",Under
Grus canadensis pulla ,Bird ,1991,2,0.32,"$1,425,000 ",Under
Colinus virginianus ridgwayi ,Bird ,1994,2,0.2,"$1,762,875 ",Under
Pipilo crissalis eremophilus ,Bird ,1998,3,0.52,"$69,850 ",Under
Phoebastria albatrus ,Bird ,2009,6,0.26,"$1,004,326 ",Under
Grus americana ,Bird ,2007,7,0.67,"$4,866,207 ",Under
Dendroica kirtlandii ,Bird ,2009,8,0.09,"$6,661,608 ",Under
Vireo bellii pusillus ,Bird ,1998,9,0.86,"$2,402,972 ",Under
Gymnogyps californianus ,Bird ,1996,9,0.43,"$2,663,723 ",Under
Erimystax cahni ,Fish ,1983,-8,0.36,"$34,710 ",Under
Cyprinodon elegans ,Fish ,1981,-7,0.89,"$54,613 ",Under
Noturus placidus ,Fish ,1991,-7,0.77,"$100,646 ",Under
Gila robusta jordani ,Fish ,1998,-6,0.87,"$54,340 ",Under
Ictalurus pricei ,Fish ,1995,-5,0.23,"$136,476 ",Under
Scaphirhynchus albus ,Fish ,2013,-5,0.2,"$51,034,680 ",Under
Notropis girardi ,Fish ,2009,-5,0.07,"$1,324,786 ",Under
Noturus flavipinnis ,Fish ,1983,-4,0.82,"$35,880 ",Under
Percina.pantherina,Fish,1993,-4,0.33,206724,Under
Chasmistes liorus ,Fish ,1999,-4,0.22,"$1,707,317 ",Under
Etheostoma boschungi ,Fish ,1984,-4,0.22,"$82,955 ",Under
Cyprinella formosa ,Fish ,1995,-4,0.19,"$136,476 ",Under
Rhinichthys osculus nevadensis ,Fish ,1990,-3,0.78,"$68,094 ",Under
Cyprinella caerulea ,Fish ,1995,-3,0.49,"$114,750 ",Under
Gila bicolor mohavensis ,Fish ,1984,-3,0.43,"$146,720 ",Under
Hypomesus transpacificus ,Fish ,1996,-3,0.33,"$4,654,600 ",Under
Hybognathus amarus ,Fish ,2010,-3,0.3,"$15,365,730 ",Under
Empetrichthys latos ,Fish ,1980,-3,0.02,"$1,175,865 ",Under
Catostomus warnerensis ,Fish ,1998,-2,0.85,"$117,765 ",Under
Crenichthys nevadae ,Fish ,1997,-2,0.64,"$118,071 ",Under
Acipenser medirostris ,Fish ,1995,-2,0.64,"$4,811,850 ",Under
Cyprinodon radiosus ,Fish ,1998,-2,0.23,"$130,216 ",Under
Dionda diaboli ,Fish ,2005,-2,0.23,"$347,480 ",Under
Gila elegans ,Fish ,1990,-1,0.88,"$2,187,917 ",Under
Cyprinodon bovinus ,Fish ,1985,-1,0.76,"$27,487 ",Under
Cyprinodon nevadensis pectoralis ,Fish ,1990,-1,0.66,"$68,094 ",Under
Gila seminuda ,Fish ,1995,-1,0.61,"$439,875 ",Under
Percina aurolineata ,Fish ,2000,-1,0.49,"$52,466 ",Under
Salmo salar ,Fish ,2005,-1,0.37,"$14,518,000 ",Under
Crenichthys baileyi grandis ,Fish ,1998,-1,0.36,"$54,340 ",Under
Gila ditaenia ,Fish ,1992,-1,0.35,"$89,142 ",Under
Etheostoma nianguae ,Fish ,1989,-1,0.33,"$352,187 ",Under
Eremichthys acros ,Fish ,1997,-1,0.31,"$180,163 ",Under
Gila bicolor snyderi ,Fish ,1998,-1,0.29,"$130,216 ",Under
Rhinichthys osculus thermalis ,Fish ,2012,-1,0.02,"$390,380 ",Under
Oncorhynchus gilae ,Fish ,2003,0,0.8,"$360,553 ",Under
Percina antesella ,Fish ,1986,0,0.79,"$53,605 ",Under
Etheostoma wapiti ,Fish ,1989,0,0.69,"$112,487 ",Under
Acipenser brevirostrum ,Fish ,1998,0,0.64,"$1,647,360 ",Under
Etheostoma sp. ,Fish ,1997,0,0.59,"$54,045 ",Under
Crenichthys baileyi baileyi ,Fish ,1998,0,0.55,"$54,340 ",Under
Scaphirhynchus suttkusi ,Fish ,2013,0,0.54,"$234,600 ",Under
Phoxinus cumberlandensis ,Fish ,1988,0,0.47,"$111,962 ",Under
Notropis mekistocholas ,Fish ,1988,0,0.34,"$101,455 ",Under
Etheostoma rubrum ,Fish ,1990,0,0.29,"$19,192 ",Under
Notropis albizonatus ,Fish ,1997,0,0.25,"$50,091 ",Under
Percina tanasi ,Fish ,1983,0,0.25,"$65,910 ",Under
